,name,icao,country
3149,Knight Air,KNA,Canada
3150,Knighthawk Express,KHX,United States
3151,Knights Airlines,KGT,Nigeria
3152,Koanda Avacion,KOA,Spain
3153,Koda International,OYE,Nigeria
3154,Kogalymavia Air Company,KGL,Russia
3155,Kom Activity,KOM,Netherlands
3156,Komiaviatrans State Air Enterprise,KMA,Russia
3157,Komiinteravia,KMV,Russia
3158,Komsomolsk-on-Amur Air Enterprise,KNM,Russia
3159,Koob-Corp - 96 KFT,KOB,Hungary
3160,Korean Air,KAL,Republic of Korea
3161,Kosmas Air,KMG,Serbia
3162,Kosmos,KSM,Russia
3163,Kosova Airlines,KOS,Serbia
3164,Kovar Air,WOK,Czech Republic
3165,Krasnojarsky Airlines,KJC,Russia
3166,Kremenchuk Flight College,KFC,Ukraine
3167,Krimaviamontag,KRG,Ukraine
3168,Kroonk Air Agency,KRO,Ukraine
3169,Krylo Airlines,KRI,Russia
3170,Krym,KYM,Ukraine
3171,Krystel Air Charter,OPC,United Kingdom
3172,Kuban Airlines,KIL,Russia
3173,Kunpeng Airlines,KPA,China
3174,Kurzemes Avio,KZA,Russia
3175,Kustbevakningen,KBV,Sweden
3176,Kuwait Airways,KAC,Kuwait
3177,Kuzu Airlines Cargo,KZU,Turkey
3178,Kvadro Aero,QVR,Kyrgyzstan
3179,Kwena Air,KWN,South Africa
3180,Kyrgyz Airlines,KGZ,Kyrgyzstan
3181,Kyrgyz Trans Avia,KTC,Kyrgyzstan
3182,Kyrgyzstan,LYN,Kyrgyzstan
3183,Kyrgyzstan Airlines,KGA,Kyrgyzstan
3184,Kyrgyzstan Department of Aviation,DAM,Kyrgyzstan
3185,Kyrgz General Aviation,KGB,Kyrgyzstan
3186,Kibris T,KYV,Turkey
3187,L A Helicopter,LAH,United States
3188,L J Aviation,LJY,United States
3189,L R Airlines,LRB,Czech Republic
3190,L&L Flygbildteknik,PHO,Sweden
3191,L'Express,LEX,United States
3192,L-3 Communications Flight Internation Aviation,FNT,United States
3193,L.A.B. Flying Service,LAB,United States
3194,LACSA,LRC,Costa Rica
3195,LADE - Lineas Aereas Del Estado,LDE,Argentina
3196,LAI - Linea Aerea IAACA,BNX,Venezuela
3197,LAN Airlines,LAN,Chile
3198,LAN Argentina,DSM,Argentina
3199,LAN Cargo,LCO,Chile
3200,LAN Dominica,LNC,Dominican Republic
3201,LAN Express,LXP,Chile
3202,LAN Peru,LPE,Peru
3203,LANSA,LSA,Dominican Republic
3204,LAP Colombia - Lineas Aereas Petroleras,APT,LAP
3205,LASTP,OTN,S
3206,LC Busre,LCB,Peru
3207,LOT Polish Airlines,LOT,Poland
3208,LTE International Airways,LTE,Spain
3209,LTU Austria,LTO,Austria
3210,LTU International,LTU,Germany
3211,LTV Jet Fleet Corporation,JFC,United States
3212,LUKoil-Avia,LUK,Russia
3213,La Ronge Aviation Services,ASK,Canada
3214,La Valenciana Taxi Aereo,LVT,Mexico
3215,Labcorp,SKQ,United States
3216,Labrador Airways,LAL,Canada
3217,Lagun Air,JEV,Spain
3218,Lake Havasu Air Service,HCA,United States
3219,Lakeland Aviation,LKL,United States
3220,Laker Airways,LKR,United States
3221,Laker Airways (Bahamas),LBH,United States
3222,Lamra,LMR,Sudan
3223,Lanaes Aereas Trans Costa Rica,TCR,Costa Rica
3224,Landsflug,ISL,Iceland
3225,Langtry Flying Group,PAP,United Kingdom
3226,Lankair,LKN,Sri Lanka
3227,Lanza Air,LZA,Spain
3228,Lanzarote Aerocargo,LZT,Spain
3229,Lao Air Company,LLL,Lao Peoples Democratic Republic
3230,Lao Airlines,LAO,Lao Peoples Democratic Republic
3231,Lao Capricorn Air,LKA,Lao Peoples Democratic Republic
3232,Laoag International Airlines,LPN,Philippines
3233,Laredo Air,LRD,United States
3234,LatCharter,LTC,Latvia
3235,Latvian Air Force,LAF,Latvia
3236,Lauda Air,LDA,Austria
3237,Lauda Air Italy,LDI,Italy
3238,Laughlin Express,LEP,United States
3239,Laus,LSU,Croatia
3240,Lawrence Aviation,LAR,United States
3241,Layang-Layang Aerospace,LAY,Malaysia
3242,Lease-a-Plane International,LPL,United States
3243,Lebanese Air Transport,LAQ,Lebanon
3244,Lebanese Air Transport (Charter),LAT,Lebanon
3245,Lebanon Airport Development Corporation,LAD,United States
3246,Leconte Airlines,LCA,United States
3247,Leeward Islands Air Transport,LIA,Antigua and Barbuda
3248,Legend Airlines,LGD,United States
3249,Leisure Air,LWD,United States
3250,Lentini Aviation,LEN,United States
3251,Leo-Air,LOR,South Africa
3252,Leonsa De Aviacion,LEL,Spain
3253,Libyan Airlines,LYW,Libya
3254,Libyan Arab Airlines,LAA,Libya
3255,Libyan Arab Air Cargo,LCR,Libya
3256,Lid Air,LIQ,Sweden
3257,Lignes Aeriennes Congolaises,LCG,Democratic Republic of the Congo
3258,Lignes Aeriennes Du Tchad,LKD,Chad
3259,Lignes Mauritaniennes Air Express,LME,Mauritania
3260,Lignes Nationales Aeriennes - Linacongo,GCB,Republic of the Congo
3261,Lincoln Air National Guard,GDQ,United States
3262,Lincoln Airlines,LRT,Australia
3263,Lindsay Aviation,LSY,United States
3264,Linea Aerea Costa Norte,NOT,Chile
3265,Linea Aerea Mexicana de Carga,LMC,Mexico
3266,Linea Aerea SAPSA,LNP,Chile
3267,Linea Aerea de Fumig Aguas Negras,NEG,Chile
3268,Linea Aerea de Servicio Ejecutivo Regional,LER,Venezuela
3269,Linea De Aeroservicios,LSE,Chile
3270,Linea Turistica Aerotuy,TUY,Venezuela
3271,Lineas Aereas Alaire S.L.,ALR,Spain
3272,Lineas Aereas Azteca,LCD,Mexico
3273,Lineas Aereas Canedo LAC,LCN,Bolivia
3274,Lineas Aereas Comerciales,LCM,Mexico
3275,Lineas Aereas Ejectuivas De Durango,EDD,Mexico
3276,Lineas Aereas Eldorado,EDR,Colombia
3277,Lineas Aereas Federales,FED,Argentina
3278,Lineas Aereas Monarca,LMN,Mexico
3279,Lineas Aereas San Jose,LIJ,Mexico
3280,Lineas Aereas del Humaya,UMA,Mexico
3281,Linex,LEC,Central African Republic
3282,Linhas Aereas Santomenses,SMS,S
3283,Linhas A,LAM,Mozambique
3284,Link Airways of Australia,LAW,Australia
3285,Lion Air Services,WGT,United Kingdom
3286,Lion Mentari Airlines,LNI,Indonesia
3287,Lions-Air,LEU,Switzerland
3288,Lithuanian Air Force,LYF,Lithuania
3289,Little Red Air Service,LRA,Canada
3290,Livingston,LVG,Italy
3291,Lloyd Aereo Boliviano,LLB,Bolivia
3292,Lnair Air Services,LNA,Spain
3293,Lockheed Air Terminal,XLG,United States
3294,Lockeed Aircraft Corporation,LAC,United States
3295,Lockheed DUATS,XDD,United States
3296,Lockheed Martin Aeronautics,CBD,United States
3297,Lockheed Martin Aeronautics Company,LNG,United States
3298,Logan Air,LOG,United Kingdom
3299,Lom Praha Flying School,CLV,Czech Republic
3300,Lomas Helicopters,LMS,United Kingdom
3301,London City Airport Jet Centre,LCY,United Kingdom
3302,London Executive Aviation,LNX,United Kingdom
3303,London Flight Centre (Stansted),LOV,United Kingdom
3304,London Helicopter Centres,LHC,United Kingdom
3305,Lone Star Airlines,LSS,United States
3306,Long Island Airlines,ORA,United States
3307,Longtail Aviation,LGT,Bermuda
3308,Lorraine Aviation,LRR,France
3309,Los Cedros Aviacion,LSC,Chile
3310,Lotus Air,TAS,Egypt
3311,Luchtvaartmaatschappij Twente,LTW,Netherlands
3312,Lucky Air,LKE,China
3313,Luft Carago,LUT,South Africa
3314,Luftfahrt-Vermietungs-Dienst,LVD,Austria
3315,Luftfahrtgesellschaft Walter,LGW,Germany
3316,Lufthansa,DLH,Germany
3317,Lufthansa Cargo,GEC,Germany
3318,Lufthansa CityLine,CLH,Germany
3320,Lufthansa Technik,LHT,Germany
3321,Lufttaxi Fluggesellschaft,LTF,Germany
3322,Lufttransport,LTR,Norway
3323,Luhansk,LHS,Ukraine
3324,Lund University School of Aviation,UNY,Sweden
3325,Luxair,LGL,Luxembourg
3326,Luxaviation,LXA,Luxembourg
3327,Luxembourg Air Rescue,LUV,Luxembourg
3328,Luxflight Executive,LFE,Luxembourg
3329,Luxor Air,LXO,Egypt
3330,Luzair,LUZ,Portugal
3331,Lviv Airlines,UKW,Ukraine
3332,Lydd Air,LYD,United Kingdom
3333,Lynch Flying Service,LCH,United States
3334,Lynden Air Cargo,LYC,United States
3335,Lynx Air International,LXF,United States
3336,Lynx Aviation,LYX,Pakistan
3337,L,LPR,Argentina
3338,L,LAU,Colombia
3339,M & N Aviation,JNH,United States
3340,MAC Fotografica,MCF,Spain
3341,MANAG'AIR,MRG,France
3342,MAP-Management and Planung,MPJ,Austria
3343,MAS Airways,TFG,United Kingdom
3344,MasAir,MAA,Mexico
3345,MAT Macedonian Airlines,MAK,Macedonia
3346,MCC Aviation,MCC,South Africa
3347,MG Aviacion,MGA,Spain
3348,MIA Airlines,JLA,Romania
3349,MIAT Mongolian Airlines,MGL,Mongolia
3350,MIT Airlines,MNC,Canada
3351,MK Airline,MKA,Ghana
3352,MNG Airlines,MNB,Turkey
3353,MSR Flug-Charter,EBF,Germany
3354,MTC Aviacion,MCV,Mexico
3355,Mac Aviation,MAQ,Spain
3356,Mac Dan Aviation Corporation,MCN,United States
3357,MacKnight Airlines,MTD,Australia
3358,Macair Airlines,MCK,Australia
3359,Macedonian Airlines,MCS,Greece
3360,Madina Air,MDH,Libya
3362,Magic Blue Airlines,MJB,Netherlands
3363,Magna Air,MGR,Austria
3364,Mahalo Air,MLH,United States
3365,Mahan Air,IRM,Iran
3366,Mahfooz Aviation,MZS,Gambia
3367,Maine Aviation,MAT,United States
3368,Majestic Airlines,MAJ,United States
3369,Mak Air,AKM,Kazakhstan
3370,Malagasy Airlines,MLG,Madagascar
3371,Malawi Express,MLX,Malawi
3372,Malaya Aviatsia Dona,MKK,Russia
3373,Malaysia Airlines,MAS,Malaysia
3374,Mali Air,MAE,Austria
3375,Mali Air Express,VXP,Mali
3376,Mali Airways,MTZ,Mali
3377,Malila Airlift,MLC,Democratic Republic of the Congo
3378,Mall Airways,MLS,United States
3379,Malmo Aviation,SCW,Sweden
3380,Malmoe Air Taxi,LOD,Sweden
3381,Malmö Aviation,SCW,Sweden
3382,Malta Air Charter,MAC,Malta
3383,Malta Wings,MWS,Malta
3384,Malév,MAH,Hungary
3385,Manaf International Airways,MLB,Burundi
3386,Mandala Airlines,MDL,Indonesia
3387,Mandarin Airlines,MDA,Taiwan
3388,Mango,MNO,South Africa
3389,Manhattan Air,MHN,United Kingdom
3390,Manitoulin Air Services,MTO,Canada
3391,Mann Air,MNR,United Kingdom
3392,Mannion Air Charter,MAN,United States
3393,Mantrust Asahi Airways,MTS,Indonesia
3394,Manx Airlines,MNX,United Kingdom
3395,Maple Air Services,MAD,Canada
3396,March Helicopters,MAR,United Kingdom
3397,Marcopolo Airways,MCP,Afghanistan
3398,Marghi Air,MGI,Nigeria
3399,Markair,MRK,United States
3400,Markoss Aviation,MKO,United Kingdom
3401,Mars RK,MRW,Ukraine
3402,Marshall Aerospace,MCE,United Kingdom
3403,Marsland Aviation,MSL,Sudan
3404,Martin Aviation Services,XMA,United States
3405,Martin-Baker,MBE,United Kingdom
3406,Martinair,MPH,Netherlands
3407,Martinaire,MRA,United States
3408,Martyn Fiddler Associates,MFA,United Kingdom
3409,Marvin Limited,MVN,United Kingdom
3410,Maryland State Police,TRP,United States
3411,Massachusetts Institute of Technology,MTH,United States
3412,Massey University School of Aviation,MSY,New Zealand
3413,Master Airways,MSW,Serbia
3414,Master Planner,MPL,United States
3415,Masterjet,LMJ,Portugal
3417,Mauria,MIA,Mauritania
3418,Mauritanienne Aerienne Et Navale,MNV,Mauritania
3419,Mauritanienne Air Fret,MRF,Mauritania
3420,Mauritanienne Airways,MWY,Mauritania
3421,Mauritanienne De Transport Aerien,MDE,Mauritania
3422,Maverick Airways,MVR,United States
3423,Mavial Magadan Airlines,MVL,Russia
3424,Max Avia,MAI,Kyrgyzstan
3425,Max Sea Food,MSF,El Salvador
3426,Max-Aviation,MAX,Canada
3427,Maxair,MXL,Sweden
3428,Maximus Air Cargo,MXU,United Arab Emirates
3429,Maxjet Airways,MXJ,United States
3430,Maxsus-Avia,MXS,Uzbekistan
3431,May Air Xpress,MXP,United States
3432,Maya Island Air,MYD,Belize
3433,Mayair,MYI,Mexico
3434,Mbach Air,MBS,Malawi
3435,McAlpine Helicopters,MCH,United Kingdom
3436,McCall Aviation,MKL,United States
3437,McDonnell Douglas,DAC,United States
3438,McNeely Charter Services,MDS,United States
3439,Med-Trans of Florida,MEK,United States
3440,Medavia Company,MDM,Malta
3441,Medical Air Rescue Services,MRZ,Zimbabwe
3442,Medical Aviation Services,MCL,United Kingdom
3443,Mediterranean Air Freight,MDF,Greece
3444,Mediterranean Airways,MDY,Egypt
3445,Medjet International,MEJ,United States
3446,Mega,MGK,Kazakhstan
3447,Mega Linhas Aereas,MEL,Brazil
3448,Mekong Airlines,MKN,Cambodia
3449,Menajet,MNJ,Lebanon
3450,Merchant Express Aviation,MXX,Nigeria
3451,Mercury Aircourier Service,MEC,United States
3452,Meridian,POV,Ukraine
3453,Meridian Air Cargo,MRD,United States
3454,Meridian Airlines,MHL,Nigeria
3455,Meridian Aviation,DSL,United Kingdom
3456,Meridian Limited,MEM,Ukraine
3457,Meridiana,ISS,Italy
3458,Merlin Airways,MEI,United States
3459,Merpati Nusantara Airlines,MNA,Indonesia
3460,Mesa Airlines,ASH,United States
3461,Mesaba Airlines,MES,United States
3462,Meta Linhas A,MSQ,Brazil
3463,Meteorological Research Flight,MET,United Kingdom
3464,Methow Aviation,MER,United States
3465,Metro Business Aviation,MVI,United Kingdom
3466,Metro Express,MEX,United States
3467,Metroflight,MTR,United States
3468,Metrojet,MTJ,Hong Kong SAR of China
3469,Metropix UK,PIX,United Kingdom
3470,Metroplis,MPS,Netherlands
3471,Mex Blue,MXB,Mexico
3472,Mex-Jet,MJT,Mexico
3473,Mexicana de Aviaci,MXA,Mexico
3474,Mexico Transportes Aereos,MXT,Mexico
3475,Miami Air Charter,HUR,United States
3476,Miami Air International,BSK,United States
3477,Miami Valley Aviation,OWL,United States
3478,Miapet-Avia,MPT,Armenia
3479,Michelin Air Services,BIB,France
3480,Micromatter Technology Solutions,WIZ,United Kingdom
3481,Mid Airlines,NYL,Sudan
3482,Mid-Pacific Airlines,MPA,United States
3483,Midamerica Jet,MJR,United States
3484,Middle East Airlines,MEA,Lebanon
3485,Midland Airport Services,MID,United Kingdom
3486,Midline Air Freight,MFR,United States
3487,Midstate Airlines,MIS,United States
3488,Midway Airlines,MDW,United States
3489,Midway Express,FLA,United States
3490,Midwest Air Freighters,FAX,United States
3491,Midwest Airlines,MEP,United States
3492,Midwest Airlines (Egypt),MWA,Egypt
3493,Midwest Aviation,NIT,United States
3494,Midwest Aviation Division,MWT,United States
3495,Midwest Helicopters De Mexico,HTE,Mexico
3496,Millardair,MAB,Canada
3497,Millen Corporation,RJM,United Kingdom
3498,Millennium Air,MLK,Nigeria
3499,Miller Flying Services,MFS,United States
3500,Million Air,OXO,United States
3501,Mimino,MIM,Russia
3502,Mina Airline Company,NAB,Egypt
3503,Minair,OMR,Central African Republic
3504,Minebea Technologies,EBE,United States
3505,Mines Air Services Zambia,MAZ,Zambia
3506,Miniliner,MNL,Italy
3507,Ministic Air,MNS,Canada
3508,Ministry of Agriculture,WDG,WATCHDOG
3509,Minsk Aircraft Overhaul Plant,LIR,Belarus
3510,Miramichi Air Service,MIR,Canada
3511,Miras,MIF,Kazakhstan
3512,Misr Overseas Airways,MOS,Egypt
3513,Mission Aviation Fellowship,MAF,Indonesia
3514,Missionair,MSN,Spain
3515,Missions Gouvernemtales Francaises,MRN,France
3516,Mississippi State University,BDG,United States
3517,Mississippi Valley Airways,MVA,United States
3518,Mistral Air,MSA,Italy
3519,Mobil Oil,MBO,Canada
3520,Mocambique Expresso,MXE,Mozambique
3521,Mofaz Air,MFZ,Malaysia
3522,Moldaeroservice,MLE,Moldova
3523,Moldavian Airlines,MDV,Moldova
3524,Moldova,MVG,Moldova
3525,Mombasa Air Safari,RRV,Kenya
3526,Monarch Airlines,MON,United Kingdom
3527,Monarch Airlines,MNH,United States
3529,Moncton Flying Club,MFC,Canada
3530,Monde Air Charters,MDB,United Kingdom
3531,Monerrey Air Taxi,MTI,Mexico
3532,Monky Aerotaxis,MKY,Mexico
3533,Montenegro Airlines,MGX,Montenegro
3534,Montserrat Airways,MNT,Montserrat
3535,Mooney Aircraft Corporation,MNY,United States
3536,Morningstar Air Express,MAL,Canada
3537,Morris Air Service,MSS,United States
3538,Morrison Flying Service,MRO,United States
3539,Moskovia Airlines,GAI,Russia
3540,Mosphil Aero,MPI,Philippines
3541,Motor Sich,MSI,Ukraine
3542,Mount Cook Airlines,NZM,New Zealand
3543,Mountain Air Cargo,MTN,United States
3544,Mountain Air Company,MTC,Sierra Leone
3545,Mountain Air Express,PKP,United States
3546,Mountain Air Service,BRR,United States
3547,Mountain Bird,MBI,United States
3548,Mountain High Aviation,MHA,United States
3549,Mountain Pacific Air,MPC,Canada
3550,Mountain Valley Air Service,MTV,United States
3551,Mowhawk Airlines,MOW,United States
3552,Mudan Airlines,MDN,Somali Republic
3553,Mudanjiang General Aviation,CMJ,China
3554,Multi Taxi,MTX,Mexico
3555,Multi-Aero,WBR,United States
3556,Multiflight,MFT,
3557,Murmansk Aircompany,MNZ,Russia
3558,Murray Air,MUA,United States
3559,Musrata Air Transport,MMR,Libya
3560,Mustique Airways,MAW,Barbados
3561,My Way Airlines,MYW,Italy
3562,MyTravel Airways,MYT,United Kingdom
3563,Myanma Airways,UBA,Myanmar
3564,Myanmar Airways International,MMM,Myanmar
3565,Myflug,MYA,Iceland
3566,Mytravel Airways,VKG,Denmark
3567,NEL Cargo,NLG,Ivory Coast
3568,NHT Lineas Aereas,NHG,Brazil
3569,NZ Warbirds Association,WAR,New Zealand
3570,Nacoia Lda,ANL,Angola
3571,Nada Air Service,NHZ,Chad
3572,Compangnie Nationale Naganagani,BFN,Burkina Faso
3573,Nahanni Air Services Ltd,NAH,Canada
3574,Nakheel Aviation,NKL,United Arab Emirates
3575,Namibia Commerical Aviation,MRE,Namibia
3576,Namibian Defence Force,NDF,Namibia
3577,Nanjing Airlines,CNJ,China
3578,Nantucket Airlines,ACK,United States
3579,Nanyah Aviation,NYA,Israel
3580,Napier Air Service Inc,NAP,United States
3581,Nas Air,NCM,Angola
3583,Nasair,NAS,Eritrea
3584,Nashville Jet Charters,NJC,United States
3585,Natalco Air Lines,NCO,S
3586,Natioanl Air Traffic Controllers Association,NTK,United States
3587,National Air Charter,NSR,Indonesia
3588,National Air Traffic Services,RFI,United Kingdom
3589,National Airlines,NAN,United States
3590,National Airlines,NCN,Chile
3591,National Airlines,ROK,United States
3592,National Airlines,NAL,United States
3593,National Airlines,KUS,South Africa
3595,National Airways Corporation,LFI,South Africa
3596,National Aviation Company,GTY,Egypt
3597,National Aviation Consultants,TNC,Canada
3598,National Express,NXT,United States
3599,National Grid,GRD,United Kingdom
3600,National Jet Express,JTE,Australia
3601,National Jet Service,AND,United States
3602,National Jet Systems,NJS,Australia
3603,National Oceanic and Atmospheric Administration,NAA,United States
3604,National Overseas Airlines Company,NOL,Egypt
3605,Nationale Luchtvaartschool,NLS,Netherlands
3606,Nations Air Express Inc,NAE,United States
3607,Nationwide Airlines,NTW,South Africa
3608,Nationwide Airlines (Zambia),NWZ,Zambia
3609,Natural Environment Research Council,EVM,United Kingdom
3610,Natureair,NRR,Costa Rica
3611,Naturelink Charter,NRK,South Africa
3612,Nauru Air Corporation,RON,Nauru
3613,NAV CANADA,NVC,Canada
3614,Nav Flight Planning,NAV,Czech Republic
3615,Navegacao Aerea De Portugal,NVP,Portugal
3616,Navegacion Servicios Aereos Canarios SA,NAY,Spain
3617,Navid,IRI,Iran
3618,Naviera Mexicana,NVM,Mexico
3619,Navigator Airlines,NVL,Armenia
3620,Navinc Airlines Services,XNV,United States
3622,Navtech System Support,XNS,Canada
3623,Nayzak Air Transport,NZA,Libya
3624,State of Nebraska,NEB,United States
3625,Necon Air,NEC,Nepal
3626,Nederlandse Kustwacht,NCG,Netherlands
3627,Nefteyugansk Aviation Division,NFT,Russia
3628,Neiltown Air,NLA,Canada
3629,Nelair Charters,NLC,South Africa
3630,Nelson Aviation College,CGE,New Zealand
3631,Nepal Airlines,RNA,Nepal
3632,Neos,NOS,Italy
3633,Neosiam Airways,TOX,Thailand
3634,Neric,NSL,United Kingdom
3635,NetJets,EJA,United States
3636,Network Aviation Services,NET,Nigeria
3637,New England Air Express,NEZ,United States
3638,New England Airlines,NEA,United States
3639,New Heights 291,NHT,South Africa
3640,New World Jet Corporation,NWD,United States
3641,New York Helicopter,NYH,United States
3642,New York State Police,GRY,United States
3643,New Zealand Air Defence Force,KRC,New Zealand
3644,Newair,HVA,United States
3645,Newfoundland Labrador Air Transport,NLT,Canada
3646,NextJet,NTJ,Sweden
3647,Nextflight Aviation,NXF,United States
3648,Nexus Aviation,NXS,Nigeria
3649,Nicaraguense De Aviacion,NIS,Nicaragua
3650,Nicon Airways,NCN,Nigeria
3651,Nigeria Airways,NGA,Nigeria
3652,Nigerian Air Force,NGR,Nigeria
3653,Nigerian Global,NGX,Nigeria
3654,Night Express,EXT,Germany
3655,Niki,NLY,Austria
3656,Nikolaev-Air,NKV,Ukraine
3657,Nile Safaris Aviation,NSA,Sudan
3658,Nile Valley Aviation Company,NVA,Egypt
3659,Nile Wings Aviation Services,NLW,Sudan
3660,Nimbus Aviation,NBS,United Kingdom
3661,Nippon Cargo Airlines,NCA,Japan
3662,Nizhnevartovskavia,NVK,Russia
3663,Search and Rescue 202,SRG,United Kingdom
3664,Search and Rescue 22,SRD,United Kingdom
3665,No. 32 (The Royal) Squadron RAF,NOH,United Kingdom
3666,84 Squadron Royal Air Force @ RAF Akrotiri,AKG,United Kingdom
3667,Nobil Air,NBL,Moldova
3668,Nok Air,NOK,Thailand
3669,Nolinor Aviation,NRL,Canada
3670,Nomad Aviation,NMD,Namibia
3671,Norcopter,NOC,Norway
3672,Nord-Flyg,NEF,Sweden
3673,Nordeste Linhas Aereas Regionais,NES,Brazil
3674,Nordic Regional,NRD,Sweden
3675,Nordic Solutions,NVD,Lithuania
3676,Nordstree (Australia),NDS,Australia
3677,Norestair,NRT,Spain
3678,Norfolk County Flight College,NCF,United Kingdom
3679,Norontair,NOA,Canada
3680,Norrlandsflyg,HMF,Sweden
3681,Norse Air Charter,NRX,South Africa
3682,Norsk Flyrjeneste,NIR,Norway
3683,Norsk Helikopter,NOR,Norway
3684,Norsk Luftambulanse,DOC,Norway
3685,Nortavia,RTV,Portugal
3686,North Adria Aviation,NAI,Croatia
3687,North American Airlines,NTM,Canada
3688,North American Charters,HMR,Canada
3689,North American Jet Charter Group,NAJ,United States
3690,North Atlantic Air Inc,NAT,United States
3691,North Atlantic Cargo,NFC,Norway
3692,North British Airlines,NBN,United Kingdom
3693,North Caribou Flying Service Ltd,NCB,Canada
3694,North Coast Air Services Ltd,NCC,Canada
3696,North Flying,NFA,Denmark
3697,North Sea Airways,NRC,Netherlands
3698,North Star Air Cargo,SBX,United States
3699,North Vancouver Airlines,NRV,Canada
3700,North West Airlines,NWW,Australia
3701,North West Geomatics,PTO,Canada
3702,North-East Airlines,NEN,Nigeria
3703,North-West Air Transport Company - Vyborg,VBG,Russia
3704,North-Wright Airways,NWL,Canada
3705,Northafrican Air Transport,NLL,Libya
3706,Northaire Feight Lines,NFL,United States
3707,Northamptonshire School of Flying,NSF,United Kingdom
3708,Northcoast Executive Airlines,NCE,United States
3709,Northeast Airlines,NEE,United States
3710,Northeast Aviation,NPX,United States
3711,Northern Air Cargo,NAC,United States
3712,Northern Airlines Sanya,BYC,China
3713,Northern Airways,NDA,United States
3714,Northern Aviation Service,CMU,Thailand
3716,Northern Executive Aviation,NEX,United Kingdom
3717,Northern Illinois Commuter,NIC,United States
3718,Northern Jet Management,NTX,United States
3719,Northern Thunderbird Air,NTA,Canada
3720,Northland Aviation,KOE,United States
3721,Northstar Aviation,NSS,United States
3722,Northumbria Helicopters,NHL,United Kingdom
3723,Northway Aviation Ltd,NAL,Canada
3724,Northwest Aero Associates,NWE,United States
3725,Northwest Airlines,NWA,United States
3726,Northwest Regional Airlines,NWR,Australia
3727,Northwest Territorial Airways,NWT,Canada
3728,Northwestern Air,PLR,Canada
3729,Northwinds Northern,NWN,Canada
3730,Nortland Air Manitoba,NAM,Canada
3731,Norwegian Air Shuttle,NAX,Norway
3732,Norwegian Aviation College,TFN,Norway
3733,Notams International,XNT,United States
3734,Nouvel Air Tunisie,LBT,Tunisia
3735,Nova Airline,NOV,Sudan
3736,Nova Scotia Department of Lands and Forests,PTR,Canada
3737,Novair,NVR,Sweden
3738,Novogorod Air Enterprise,NVG,Russia
3739,Novosibirsk Aircraft Repairing Plant,NSP,Russia
3740,Novosibirsk Aviaenterprise,NBE,Russia
3741,Novosibirsk Aviation Production Association,NPO,Russia
3742,Noy Aviation,NOY,Israel
3743,Nuevo Continente,ACQ,Peru
3744,Nuevo Horizonte Internacional,NHR,Mexico
3745,Nunasi-Central Airlines,NUN,Canada
3746,Nurman Avia Indopura,NIN,Indonesia
3747,Nyasa Express,NYS,Malawi
3748,Nas Air,KNE,Saudi Arabia
3749,O Air,OCN,France
3750,O'Connor Airlines,OCM,Australia
3752,OSACOM,JPA,United States
3753,Oasis Hong Kong Airlines,OHK,Hong Kong
3754,Ocean Air,BCN,Mauritania
3755,Ocean Airlines,VCX,Italy
3756,Ocean Sky (UK),OCS,United Kingdom
3757,Ocean Wings Commuter Service,TUK,United States
3758,Oceanair,ONE,Brazil
3760,Odessa Airlines,ODS,Ukraine
3761,Odyssey International,ODY,Canada
3762,Office Federal De'Aviation Civile,FOC,Switzerland
3763,Ogooue Air Cargo,GBO,Gabon
3764,Okada Airlines,OKJ,Nigeria
3765,Okapi Airways,OKP,Democratic Republic of Congo
3766,Okay Airways,OKA,China
3767,Oklahoma Department of Public Safety,OKL,United States
3768,Olimex Aerotaxi,OLX,Czech Republic
3769,Olimp Air,KVK,Kazakhstan
3770,Olympic Airlines,OAL,Greece
3771,Olympic Aviation,OLY,Greece
3772,Oman Air,OMA,Oman
3773,Oman Royal Flight,ORF,Oman
3774,Omni - Aviacao e Tecnologia,OAV,Portugal
3775,Omni Air International,OAE,United States
3776,Omniflys,OMF,Mexico
3777,Omskavia Airline,OMS,Russia
3778,On Air Limited,ORL,Canada
3779,One Two Go Airlines,OTG,Thailand
3780,Onetime Airlines Zambia,OTM,Zambia
3781,Ontario Ministry of Health,MED,Canada
3782,Onur Air,OHY,Turkey
3783,Opal Air,OPA,Australia
3784,Open Sky Aviation,OSA,Lebanon
3785,OpenSkies,BOS,United Kingdom
3786,Operadora Turistica Aurora,ORR,Mexico
3787,Operadora de Lineas Ejecutivas,OLE,Mexico
3788,Operadora de Transportes Aereos,OTP,Mexico
3789,Operadora de Veulos Ejectutivos,OPV,Mexico
3790,Operation Enduring Freedom,LLO,Canada
3791,Operational Aviation Services,OAX,Australia
3792,Orange Air Services,ORD,Sierra Leone
3793,Orange Air Sierra Leone,ORJ,Sierra Leone
3794,Orange Aviation,ORE,Israel
3795,Orbit Express Airlines,ORX,Turkey
3796,Orca Air,ORK,Egypt
3797,Orebro Aviation,BUE,Sweden
3798,Orel State Air Enterprise,ORM,Russia
3799,Orenburg Airlines,ORB,Russia
3800,Organizacion De Transportes Aereos,OTA,Mexico
3801,Organizacoes Mambra,OML,Angola
3802,Orient Air,OVV,Syrian Arab Republic
3803,Orient Airlines,OTR,Sudan
3804,Orient Airways,ORN,Pakistan
3805,Orient Thai Airlines,OEA,Thailand
