,name,icao,country
252,Air Livonia,LIV,Estonia
253,Air BC,ABL,Canada
254,Air Fret Senegal,ABN,Senegal
255,Air Jamahiriya Company,LJA,Libya
256,Aktjubavia,AKB,Kazakhstan
257,Arca Aerovias Colombianas Ltda.,AKC,Colombia
258,Anikay Air Company,AKF,Kyrgyzstan
259,Akhal,AKH,Turkmenistan
260,Aeromilenio,MNI,Mexico
261,Aklak Air,AKK,Canada
262,Air Kiribati,AKL,Kiribati
263,Alkan Air,AKN,Canada
264,Angkor Airways,AKW,Cambodia
265,Air Nippon Network Co. Ltd.,AKX,Japan
266,AK Navigator LLC,AKZ,Kazakhstan
267,Aero Albatros,ALB,Mexico
268,Albion Aviation,ALD,United Kingdom
269,Aeroalas Colombia,ALE,Colombia
270,Allied Command Europe (Mobile Force),ALF,Belgium
271,Aerotaxis Albatros,BTS,Mexico
272,American Flyers,FYS,United States
273,Aero Coach Aviation,DFA,United States
274,Atlantic Southeast Airlines,CAA,United States
275,ACM Air Charter,BVR,Germany
276,Air Logistics,ALG,United States
277,Aerovallarta,ALL,Mexico
278,Air ALM,ALM,Netherlands Antilles
279,Air Lincoln,ALN,United States
280,America West Airlines,AWE,United States
281,Air Wisconsin,AWI,United States
282,Aerotransporte de Carga Union,TNO,Mexico
283,Aero Taxis Cessna,TND,Mexico
284,Arizona Express Airlines,TMP,United States
285,Tatarstan Airlines,TAK,Russia
286,Allegheny Commuter Airlines,ALO,United States
287,Alpliner AG,ALP,Switzerland
288,Altair Aviation (1986),ALQ,Canada
289,Air Luxor STP,ALU,Sao Tome and Principe
290,Alas de Venezuela,ALV,Venezuela
291,Alas Nacionales,ALW,ALNACIONAL
292,Alyeska Air Service,ALY,United States
293,Alta Flights (Charters) Ltd.,ALZ,Canada
294,Air Sunshine,RSI,United States
295,ATMA,AMA,Kazakhstan
296,Aerolineas Medellin,AMD,Colombia
297,Ameriflight,AMF,United States
299,Air Lithuania,KLA,Lithuania
300,Air Minas Linhas A,AMG,Brazil
301,Alan Mann Helicopters Ltd.,AMH,United Kingdom
302,Air Maldives,AMI,Maldives
303,Aviation Amos,AMJ,Canada
304,Amerer Air,AMK,Austria
305,Air Malawi,AML,Malawi
306,Aeroputul International Marculesti,AMM,Moldova
307,Air Montenegro,AMN,Montenegro
308,Air Montreal (Air Holdings Inc.),AMO,Canada
309,Aero Transporte S.A. (ATSA),AMP,Peru
310,Aeromedicare Ltd.,AMQ,United Kingdom
312,Air Specialties Corporation,AMR,United States
313,Air Muskoka,AMS,Canada
314,ATA Airlines,AMT,United States
315,Air Macau,AMU,Macao
316,AMC Airlines,AMV,Egypt
317,Air Midwest,AMW,United States
318,Air Seychelles,SEY,Seychelles
319,Air Sofia,SFB,Bulgaria
320,AeroMéxico,AMX,Mexico
321,Air Ambar,AMY,Dominican Republic
322,Amiya Airline,AMZ,Nigeria
323,All Nippon Airways,ANA,Japan
324,Air Navigation And Trading Co. Ltd.,ANB,United Kingdom
325,Anglo Cargo,ANC,United Kingdom
326,Air Nostrum,ANE,Spain
327,Air Niugini,ANG,Papua New Guinea
328,Air Arabia,ABY,United Arab Emirates
329,Air Canada,ACA,Canada
330,Airport Bratsk,BRP,Russia
331,Air Wings,BSB,Moldova
332,Air Baltic,BTI,Latvia
333,Alajnihah for Air Transport,ANH,Libya
334,Air Atlantic (Nig) Limited,ANI,Nigeria
335,Air Nippon,ANK,Japan
336,Antares Airtransport,ANM,ANTARES
337,Airnorth,ANO,Australia
338,Aerol,ANQ,Colombia
339,Andes Lineas Aereas,ANS,Argentina
340,Air North Charter - Canada,ANT,Canada
341,Air Nevada,ANV,United States
342,AOM French Airlines,AOM,France
343,Aviacion Del Noroeste,ANW,AVINOR
344,Air New Zealand,ANZ,New Zealand
345,Avia Jaynar,SAP,Kazakhstan
346,Aero Servicios Empresariales,EMS,Mexico
347,Alcon Servicios Aereos,AOA,ALCON
348,AVCOM,AOC,Russia
349,Aero Vodochody,AOD,Czech Republic
350,Air One Executive,AOE,Italy
351,Atair Pty Ltd.,AOF,South Africa
352,Aero VIP,AOG,Argentina
353,Aeromundo Ejecutivo,MUN,Mexico
354,Aerolinea Muri,MUR,Mexico
355,Astoria,AOI,ASTORIA
356,Aero Rent JSC,NRO,Russia
357,Aeronord-Grup,NRP,Moldova
358,Aeroatlantico Colombia,AOK,Colombia
359,Angkor Airlines,AOL,Cambodia
360,Aero Entreprise,AON,France
361,As,AOO,COMPANY AS
362,Aeropiloto,AOP,Portugal
363,Aeroenlaces Nacionales,VIV,Mexico
364,Aerovis Airlines,VIZ,Ukraine
365,Avjet International (FZE),VJE,United Arab Emirates
366,Aerovista Gulf Express,VGF,United Arab Emirates
367,Air Vegas,VGA,United States
368,Almaver,VER,Mexico
369,Afro International Ent. Limited,AOR,Nigeria
370,Alitalia Express,SMX,Italy
371,Asia Overnight Express,AOT,Philippines
372,Air Tractor,AOU,Croatia
373,Aero Vision,AOV,France
374,Aerotaxi Del Valle,AOX,Colombia
375,Air Park Aviation Ltd.,APA,Canada
376,Airpac Airlines,APC,AIRPAC
377,Aeroservicios Monterrey,SVM,Mexico
378,Amapola Flyg AB,APF,Sweden
379,Air People International,APG,Thailand
380,Alpha Aviation,APH,AIRFLIGHT
381,ASA Pesada,API,ASA PESADA
382,Air Print,APJ,AIR PRINT
383,Atlantic Airlines,BJK,United States
384,Aerotransporte Petrolero,PET,Colombia
385,Aero Flight,ARF,Germany
386,ACM Aviation,BJT,United States
387,Aircompany Barcol,BKL,Russia
388,All Charter Limited,BLA,United Kingdom
389,Appalachian Flying Service,APL,APPALACHIAN
390,Airpac,APM,ALASKA PACIFIC
391,Aeropro,APO,Canada
392,Aerolineas Pacifico Atlantico,APP,AEROPERLAS
393,Aspen Aviation,APQ,United States
394,Aeropuma,APU,AEROPUMA
395,Air Plan International,APV,Democratic Republic of the Congo
396,Arrow Air,APW,United States
397,Apex Air Cargo,APX,United States
398,APA Internacional,APY,Dominican Republic
399,Aeroatlas,AQA,ATCO
400,Aquila Air Ltd.,AQL,Canada
401,Air Queensland,AQN,Australia
402,Aluminum Company Of America,AQO,United States
403,Aviones de Renta de Quintana Roo,AQT,AVIOQUINTANA
404,AirQuarius Aviation,AQU,South Africa
405,Aerodyne Charter Company,AQZ,United States
406,Arik Air,ARA,Nigeria
407,Avia Air N.V.,ARB,Aruba
408,Air Routing International Corp.,ARC,United States
409,Aerocondor,ARD,Portugal
410,Aires,ARE, S.A.
411,Aerolineas Argentinas,ARG,Argentina
412,Arrowhead Airways,ARH,United States
413,Aero Vics,ARI,Mexico
414,Aerojet de Costa Rica,ARJ,
415,Antillana De Navegacion Aerea,SUN,Dominican Republic
416,Aeroservicios De San Luis,SUO,Mexico
417,Aerosuper,SUP,Mexico
418,Aero Link Air Services S.L.,ARK,Spain
419,Airlec - Air Aquitaine Transport,ARL,France
420,Aeromarket Express,ARM,Spain
421,Arrow Aviation Ltd.,ARO,Canada
422,RPA-Aviataxi Ltd.,ARP,Russia
423,Air Klaipeda,KLD,Lithuania
